Model,Cora,IMDB-BINARY,IMDB-MULTI,MUTAG,NCI1,NCI109,PROTEINS,PubMed,US-county-demos-BachelorRate,US-county-demos-BirthRate,US-county-demos-DeathRate,US-county-demos-Election,US-county-demos-MedianIncome,US-county-demos-MigraRate,US-county-demos-UnemploymentRate,ZINC,citeseer,minesweeper,roman_empire
ccxn,86.79 ± 1.81,68.4 ± nan,47.63 ± 3.45,74.89 ± 5.51,74.86 ± 0.82,74.48 ± 0.83,75.63 ± 2.57,88.91 ± 0.47,0.3166 ± 0.0288,0.745 ± 0.1123,0.5426 ± 0.055,0.3471 ± 0.0154,0.2489 ± 0.0296,0.8482 ± 0.185,0.2707 ± 0.0258,0.4194 ± 0.0161,74.67 ± 2.24,nan ± nan,nan ± nan
cwn,86.32 ± 1.38,70.4 ± 2.02,49.71 ± 2.83,80.43 ± 1.78,74.11 ± 1.77,73.8 ± 2.06,76.13 ± 2.7,88.64 ± 0.36,0.3306 ± 0.0279,0.7181 ± 0.086,0.5399 ± 0.0553,0.3437 ± 0.0216,0.2468 ± 0.03,0.838 ± 0.1286,0.2535 ± 0.031,0.3497 ± 0.012,75.2 ± 1.82,nan ± nan,nan ± nan
cwn_dcm,87.44 ± 1.35,69.12 ± 2.82,45.87 ± nan,77.02 ± 9.32,76.65 ± 0.0,75.35 ± 1.5,73.33 ± 2.3,88.62 ± 0.4,0.313 ± 0.0248,0.7134 ± 0.0915,0.5443 ± 0.0568,0.307 ± 0.0155,0.2263 ± 0.0187,0.8373 ± 0.1206,0.2456 ± 0.0329,0.336 ± 0.0125,75.63 ± 1.67,89.42 ± 0.0,82.14 ± 0.0
